feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
22233;icecat_22233;0;numerical;"Maximum nut size";;mm
27880;icecat_27880;0;numerical;"Relative density";;
2043;icecat_2043;0;numerical;"Print head swath";;""""
17583;icecat_17583;0;y_n;"Adjustable drill table";;
30733;icecat_30733;0;numerical;"Ballhead maximum weight capacity";;kg
12283;icecat_12283;0;;"Storage pouch, box in pack";;
27241;icecat_27241;0;range;Passband;;MHz
4738;icecat_4738;0;y_n;"SteamGlide soleplate";;
8710;icecat_8710;0;dropdown;"Speakers connectivity type";"The type of connection used for the speakers e.g. RCA connector.";
29615;icecat_29615;0;y_n;"Rock mold included";;
17003;icecat_17003;0;dropdown;"Hose connecting thread";;
14554;icecat_14554;0;;"Data transfer rate UMTS (HSPA) (upload)";;Mbit/s
4735;icecat_4735;0;y_n;"Steam boost for the most stubborn creases";;
3479;icecat_3479;0;numerical;"Linear velocity";"The speed at which data can be recorded on hardware e.g. the write speed of a DVD.";m/s
22688;icecat_22688;0;numerical;"Operating time (flashing light)";;h
17242;icecat_17242;0;;"LED effect";;
11110;icecat_11110;0;y_n;Camper/Caravan;"A camper (or camper van) is a large motor vehicle with living accommodation. A caravan is a vehicle equipped for living in, typically towed by a car and used for holidays.";
12471;icecat_12471;0;;"Sport spout";;pc(s)
7707;icecat_7707;0;dropdown;"DIN size";;
16573;icecat_16573;0;;"Games Hub";;
11426;icecat_11426;0;y_n;"Intel Server Customization Technology";;
18115;icecat_18115;0;y_n;"Ferrite bead";;
22266;icecat_22266;0;y_n;"SSID Broadcast";;
12273;icecat_12273;0;;"Slide and Flash";;
13635;icecat_13635;0;;"Operating Instruction Language 1";;
8189;icecat_8189;0;numerical;"Calorie counter";;kcal
1458;icecat_1458;0;text;"ATM features";;
8739;icecat_8739;0;numerical;"Bridge-mode power output per channel (4 Ohm)";;W
22585;icecat_22585;0;alphanumeric;"Eyelash mascara colour code";;
24174;icecat_24174;0;numerical;"Tread depth measuring accuracy";;mm
18991;icecat_18991;0;;"Continuous shooting";;
10603;icecat_10603;0;text;"Frame type";;
24263;icecat_24263;0;;"LPCM (2Ch/5.1Ch/7.1Ch)";;
28213;icecat_28213;0;dropdown;"Panel material";;
28344;icecat_28344;0;numerical;"Vertical clearance";;mm
12195;icecat_12195;0;y_n;"Headphone out";"The socket for connecting headphones to the device.";
27643;icecat_27643;0;dropdown;"Storage drive adapter type";;
21021;icecat_21021;0;numerical;"Sugar stick capacity";;g
5971;icecat_5971;0;text;"Print time (colour image ISO N5, normal quality, D coated paper)";;min/page
25755;icecat_25755;0;;"Frother capacity";;ml
7968;icecat_7968;0;y_n;"12V trigger";;
6804;icecat_6804;0;text;Movable;;
9983;icecat_9983;0;multi_dropdown;"Minimum processor family";;
14334;icecat_14334;0;;"Focusing screen";;
21875;icecat_21875;0;numerical;"Container height (max)";;mm
25344;icecat_25344;0;numerical;"Bedroom vanity height";;mm
91;icecat_91;0;numerical;"Viewable size, horizontal";"The viewable size is often somewhat smaller than the actual size of a monitor, because there is a border around the image.";mm
2556;icecat_2556;0;numerical;"AC outlets quantity";"The number of sockets in the device where AC electrical power can be connected.";"AC outlet(s)"
13765;icecat_13765;0;;"Flash guide number (ISO 100)";;m
